Stock Index,Stock Price
AC3336,251.40273
AC3337,587.2925
AC3338,1828.0103
AC3339,816.9021
AC3340,99.93615
AC3341,1197.5121
AC3342,1212.1259
AC3343,285.10046
AC3344,90.83598
AC3345,218.108
AC3346,73.15823
AC3347,298.7206
AC3348,661.5439
AC3349,493.36676
AC3350,215.61528
AC3351,836.8462
AC3352,-19.493408
AC3353,425.65274
AC3354,227.23404
AC3355,665.03534
AC3356,253.15205
AC3357,637.50995
AC3358,1587.6028
AC3359,1319.6448
AC3360,1170.049
AC3361,261.18884
AC3362,361.5437
AC3363,549.3328
AC3364,375.88596
AC3365,99.31728
AC3366,361.9675
AC3367,250.38292
AC3368,798.55566
AC3369,313.92322
AC3370,616.82007
AC3371,382.49216
AC3372,493.69308
AC3373,229.91306
AC3374,335.18314
AC3375,1066.1461
AC3376,423.28107
AC3377,230.60362
AC3378,374.25067
AC3379,628.46655
AC3380,145.9535
AC3381,440.89636
AC3382,576.77246
AC3383,144.29886
AC3384,263.3564
AC3385,241.46211
AC3386,132.73009
AC3387,288.17776
AC3388,1589.4167
AC3389,283.07507
AC3390,230.36494
AC3391,786.2989
AC3392,606.8172
AC3393,445.74902
AC3394,517.79565
AC3395,1454.1782
AC3396,21.150267
AC3397,681.4472
AC3398,442.18134
AC3399,79.93592
AC3400,173.06374
AC3401,116.46161
AC3402,503.93625
AC3403,269.89886
AC3404,68.67495
AC3405,88.82939
AC3406,288.73843
AC3407,191.64896
AC3408,689.8262
AC3409,1208.661
AC3410,924.406
AC3411,898.7992
AC3412,1416.1685
AC3413,170.39513
AC3414,322.45926
AC3415,168.56345
AC3416,573.35706
AC3417,868.1583
AC3418,143.96051
AC3419,1286.728
AC3420,188.06549
AC3421,231.18051
AC3422,850.72687
AC3423,39.12259
AC3424,1175.0194
AC3425,202.68108
AC3426,110.22542
AC3427,361.3708
AC3428,782.31433
AC3429,769.49255
AC3430,321.9011
AC3431,475.08124
AC3432,511.5229
AC3433,211.14775
AC3434,827.8968
AC3435,1074.3605
AC3436,440.3195
AC3437,189.62918
AC3438,1498.9363
AC3439,167.28558
AC3440,1225.2845
AC3441,428.0996
AC3442,0.0005429983
AC3443,638.8135
AC3444,161.1875
AC3445,157.88763
AC3446,751.0709
AC3447,908.1
AC3448,152.51816
AC3449,1068.8894
AC3450,227.1267
AC3451,1069.0801
AC3452,735.5764
AC3453,680.7365
AC3454,46.129696
AC3455,771.72003
AC3456,159.96808
AC3457,636.9283
AC3458,705.17316
AC3459,1752.3734
AC3460,534.92596
AC3461,588.0941
AC3462,488.30276
AC3463,1259.6633
AC3464,327.61783
AC3465,630.6364
AC3466,167.94875
AC3467,158.4027
AC3468,1400.5153
AC3469,286.74554
AC3470,363.19687
AC3471,676.1528
AC3472,221.45366
AC3473,415.15207
AC3474,424.03
AC3475,84.718124
AC3476,555.07385
AC3477,815.97156
AC3478,188.78096
AC3479,211.74712
AC3480,195.39166
AC3481,1155.7289
AC3482,395.145
AC3483,1011.4524
AC3484,908.86505
AC3485,764.95764
AC3486,105.88852
AC3487,246.5855
AC3488,1722.4908
AC3489,809.3419
AC3490,1574.0692
AC3491,317.12668
AC3492,989.10315
AC3493,70.35436
AC3494,1047.2719
AC3495,143.72388
AC3496,1296.6963
AC3497,403.78104
AC3498,49.287277
AC3499,373.79074
AC3500,158.67876
AC3501,253.39803
AC3502,259.38712
AC3503,300.24414
AC3504,1098.8116
AC3505,1154.1892
AC3506,447.12756
AC3507,874.40857
AC3508,899.76605
AC3509,394.98816
AC3510,1205.2036
AC3511,998.1685
AC3512,981.59155
AC3513,536.9778
AC3514,168.02477
AC3515,947.4788
AC3516,538.9711
AC3517,503.32513
AC3518,581.26355
AC3519,963.21893
AC3520,1720.0975
AC3521,747.9503
AC3522,1212.4852
AC3523,1018.20056
AC3524,1120.7208
AC3525,789.12573
AC3526,483.48758
AC3527,104.31249
AC3528,91.179886
AC3529,977.2353
AC3530,539.05524
AC3531,571.60474
AC3532,748.6067
AC3533,550.19165
AC3534,809.95807
AC3535,900.9093
AC3536,248.24973
AC3537,206.85112
AC3538,833.2816
AC3539,1292.2982
AC3540,379.01727
AC3541,531.95557
AC3542,312.77194
AC3543,1075.6953
AC3544,446.9397
AC3545,394.6783
AC3546,1009.95544
AC3547,611.2606
AC3548,88.11033
AC3549,1634.614
AC3550,824.2065
AC3551,659.8743
AC3552,343.44373
AC3553,903.70386
AC3554,315.00656
AC3555,210.38951
AC3556,1056.9441
AC3557,629.90814
AC3558,1268.7554
AC3559,480.1373
AC3560,210.61559
AC3561,190.8904
AC3562,777.24194
AC3563,1050.3818
AC3564,1480.0743
AC3565,703.9782
AC3566,295.80728
AC3567,255.56549
AC3568,254.1569
AC3569,353.79916
AC3570,765.9879
AC3571,605.7933
AC3572,488.18082
AC3573,1298.1277
AC3574,672.21075
AC3575,167.21654
AC3576,576.124
AC3577,1626.377
AC3578,93.83262
AC3579,1444.8955
AC3580,96.619484
AC3581,190.35437
AC3582,252.97906
AC3583,700.9707
AC3584,201.60378
AC3585,189.76932
AC3586,419.64383
AC3587,49.522808
AC3588,275.24234
AC3589,164.29646
AC3590,315.2187
AC3591,380.81595
AC3592,295.35135
AC3593,48.098278
AC3594,125.39381
AC3595,364.33612
AC3596,795.1828
AC3597,83.1401
AC3598,238.14375
AC3599,1146.166
AC3600,1300.2129
AC3601,937.5771
AC3602,791.4333
AC3603,1631.555
AC3604,308.71207
AC3605,776.7984
AC3606,1202.382
AC3607,-8.050347
AC3608,1023.78345
AC3609,492.6851
AC3610,168.85757
AC3611,817.65137
AC3612,39.38298
AC3613,1182.6921
AC3614,562.44666
AC3615,519.8535
AC3616,310.1354
AC3617,1213.8488
AC3618,155.78284
AC3619,321.37357
AC3620,229.74826
AC3621,808.1087
AC3622,294.95816
AC3623,327.04126
AC3624,707.06396
AC3625,260.21835
AC3626,109.64195
AC3627,639.7604
AC3628,83.39494
AC3629,40.026646
AC3630,613.34875
AC3631,31.240448
AC3632,161.72508
AC3633,299.75803
AC3634,1403.2505
AC3635,299.2482
AC3636,1180.0132
AC3637,334.0307
AC3638,1009.2717
AC3639,209.77164
AC3640,914.5
AC3641,577.21436
AC3642,165.283
AC3643,634.1273
AC3644,750.77386
AC3645,1135.724
AC3646,667.909
AC3647,368.73926
AC3648,219.67953
AC3649,405.70853
AC3650,692.54614
AC3651,1298.0735
AC3652,377.68475
AC3653,610.962
AC3654,1187.4103
AC3655,374.26773
AC3656,378.41745
AC3657,927.8
AC3658,897.8056
AC3659,556.96906
AC3660,139.13908
AC3661,143.59256
AC3662,283.56796
AC3663,757.03375
AC3664,422.7938
AC3665,860.9106
AC3666,400.03317
AC3667,630.5995
AC3668,1251.4382
AC3669,1176.7703
AC3670,431.7807
AC3671,134.64203
AC3672,364.9217
AC3673,898.2082
AC3674,917.93835
AC3675,587.88885
AC3676,1354.0876
AC3677,1029.0891
AC3678,1222.8535
AC3679,437.18173
AC3680,653.2444
AC3681,595.5343
AC3682,275.77472
AC3683,525.6556
AC3684,473.88043
AC3685,153.77734
AC3686,290.42212
AC3687,812.887
AC3688,203.62735
AC3689,772.3974
AC3690,651.63165
AC3691,493.84158
AC3692,282.73013
AC3693,160.40929
AC3694,260.59625
AC3695,239.6133
AC3696,159.08913
AC3697,348.58163
AC3698,198.02878
AC3699,150.26874
AC3700,1156.6294
AC3701,253.53563
AC3702,446.57742
AC3703,178.9635
AC3704,270.85788
AC3705,675.0876
AC3706,694.3607
AC3707,1523.0514
AC3708,1226.9282
AC3709,525.8851
AC3710,125.54459
AC3711,1094.2345
AC3712,329.46732
AC3713,955.7872
AC3714,1461.8531
AC3715,1336.6809
AC3716,209.32156
AC3717,816.0091
AC3718,1329.5792
AC3719,1057.854
AC3720,204.12253
AC3721,349.18137
AC3722,1496.4569
AC3723,575.11975
AC3724,106.575905
AC3725,959.9939
AC3726,122.913055
AC3727,602.2961
AC3728,304.3441
AC3729,371.967
AC3730,588.18604
AC3731,990.4548
AC3732,541.2999
AC3733,174.84477
AC3734,514.7571
AC3735,375.57806
AC3736,732.5059
AC3737,504.01407
AC3738,342.31494
AC3739,48.849243
AC3740,395.4029
AC3741,756.89374
AC3742,717.7519
AC3743,836.3515
AC3744,45.83276
AC3745,125.064026
AC3746,349.2015
AC3747,404.81857
AC3748,176.05705
AC3749,514.4723
AC3750,1420.6821
AC3751,36.341213
AC3752,87.933784
AC3753,394.37442
AC3754,665.7073
AC3755,55.674282
AC3756,355.33997
AC3757,915.88525
AC3758,881.30444
AC3759,551.25854
AC3760,198.33733
AC3761,439.6199
AC3762,489.0312
AC3763,896.67944
AC3764,490.4881
AC3765,282.63956
AC3766,438.80115
AC3767,76.989334
AC3768,1033.0415
AC3769,958.1117
AC3770,110.21761
AC3771,674.98334
AC3772,468.68423
AC3773,130.41356
AC3774,246.73213
AC3775,2.2258108
AC3776,348.7238
AC3777,118.217735
AC3778,875.33655
AC3779,1601.6036
AC3780,71.80464
AC3781,641.0448
AC3782,96.57429
AC3783,611.07886
AC3784,291.36765
AC3785,366.98602
AC3786,458.36758
AC3787,216.44305
AC3788,722.566
AC3789,1376.1239
AC3790,758.6331
AC3791,173.81998
AC3792,758.1567
AC3793,198.93597
AC3794,790.8795
AC3795,453.28177
AC3796,288.00348
AC3797,110.51399
AC3798,590.31006
AC3799,1026.3027
AC3800,93.50775
AC3801,176.493
AC3802,225.4548
AC3803,82.313286
AC3804,-84.72514
AC3805,-32.424847
AC3806,776.55554
AC3807,169.03981
AC3808,1402.0353
AC3809,227.72414
AC3810,493.3735
AC3811,318.45032
AC3812,589.85736
AC3813,947.23315
AC3814,774.9042
AC3815,172.50264
AC3816,812.9013
AC3817,319.3831
AC3818,1604.9922
AC3819,130.05545
AC3820,154.28288
AC3821,258.26605
AC3822,292.88724
AC3823,420.42438
AC3824,423.97754
AC3825,381.91534
AC3826,401.37134
AC3827,574.1461
AD1,148.19795
AD2,403.21692
AD3,62.223656
AD4,615.49664
AD5,142.34923
AD6,167.33154
AD7,370.1981
AD8,744.7811
AD9,640.2124
AD10,348.62442
AD11,130.64868
AD12,150.24417
AD13,820.1606
AD14,693.7315
AD15,977.63403
AD16,619.21124
AD17,794.3651
AD18,612.27026
AD19,1495.5178
AD20,264.6285
AD21,828.74664
AD22,1317.2894
AD23,1548.5516
AD24,309.63504
AD25,718.8937
AD26,548.54565
AD27,354.22794
AD28,283.85846
AD29,770.92773
AD30,1105.2427
AD31,300.36407
AD32,401.00348
AD33,494.6309
AD34,232.88014
AD35,721.2153
AD36,186.09769
AD37,-5.4902325
AD38,1604.0536
AD39,777.7833
AD40,462.9007
AD41,25.61703
AD42,202.18149
AD43,169.57121
AD44,807.71246
AD45,1703.2286
AD46,513.13104
AD47,212.46889
AD48,207.67972
AD49,280.1138
AD50,552.83875
AD51,26.192188
AD52,73.932915
AD53,523.66846
AD54,133.69205
AD55,593.18555
AD56,1105.4008
AD57,841.6739
AD58,1151.403
AD59,630.37054
AD60,681.9928
AD61,808.1728
AD62,1621.3778
AD63,695.8422
AD64,983.4778
AD65,211.66685
AD66,385.73956
AD67,138.89279
AD68,1084.3043
AD69,228.29932
AD70,-25.423693
AD71,460.76492
AD72,703.8563
AD73,398.26617
AD74,227.92908
AD75,750.08203
AD76,1396.0243
AD77,279.8814
AD78,391.40723
AD79,1498.5343
AD80,720.60333
AD81,1176.9952
AD82,622.4611
AD83,95.13426
AD84,474.79227
AD85,1019.0742
AD86,521.561
AD87,551.55707
AD88,655.05286
AD89,82.59134
AD90,766.1232
AD91,1335.9584
AD92,222.13762
AD93,591.14703
AD94,511.78195
AD95,199.55768
AD96,713.6914
AD97,339.78314
AD98,1107.4052
AD99,4.12225
AD100,818.8941
AD101,213.76613
AD102,103.24001
AD103,168.84404
AD104,245.1369
AD105,941.8076
AD106,883.1301
AD107,1242.2415
AD108,1177.0449
AD109,160.68684
AD110,651.6996
AD111,510.95334
AD112,1274.8751
AD113,310.02948
AD114,294.57288
AD115,330.79865
AD116,652.4586
AD117,818.0381
AD118,131.85466
AD119,347.61658
AD120,74.79738
AD121,97.01044
AD122,599.55383
AD123,-3.6522574
AD124,599.20465
AD125,592.4082
AD126,424.86777
AD127,1321.9869
AD128,422.3073
AD129,730.249
AD130,248.18723
AD131,807.2695
AD132,499.25928
AD133,709.7407
AD134,367.49442
AD135,1552.2103
AD136,815.07715
AD137,459.25995
AD138,844.9868
AD139,1536.432
AD140,390.2945
AD141,91.70368
AD142,832.05804
AD143,146.65979
AD144,196.60303
AD145,204.92223
AD146,1160.5046
AD147,907.0435
AD148,819.9016
AD149,1079.7523
AD150,731.40717
AD151,247.725
AD152,1125.9125
AD153,438.42557
AD154,411.60767
AD155,537.88727
AD156,175.87367
AD157,1325.6151
AD158,395.26816
AD159,778.91205
AD160,1195.6737
AD161,688.55676
AD162,197.80446
AD163,526.7579
AD164,828.2766
AD165,615.86694
AD166,417.68585
AD167,422.04428
AD168,491.41565
AD169,813.2048
AD170,93.83765
AD171,716.4441
AD172,229.28877
AD173,626.00256
AD174,652.0645
AD175,348.87085
AD176,329.69388
AD177,434.34375
AD178,1195.858
AD179,861.4964
AD180,67.57399
AD181,1277.5509
AD182,257.3197
AD183,74.78066
AD184,1304.0385
AD185,487.069
AD186,1258.9036
AD187,509.15796
AD188,77.835976
AD189,1196.611
AD190,405.97678
AD191,132.16924
AD192,702.1636
AD193,161.23929
AD194,326.8146
AD195,533.70917
AD196,800.5135
AD197,1256.8467
AD198,266.9708
AD199,60.331867
AD200,741.5117
AD201,1290.9735
AD202,203.41759
AD203,610.2098
AD204,1191.3513
AD205,199.90002
AD206,357.94394
AD207,895.1922
AD208,825.3254
AD209,583.7123
AD210,1866.5212
AD211,505.9015
AD212,1088.9028
AD213,1352.4465
AD214,384.41812
AD215,607.0621
AD216,18.207132
AD217,1421.1954
AD218,830.0448
AD219,369.57355
AD220,410.48148
AD221,452.328
AD222,1280.3882
AD223,41.759525
AD224,832.8375
AD225,477.91074
AD226,1675.297
AD227,547.7665
AD228,289.93842
AD229,445.31958
AD230,399.3005
AD231,451.0286
AD232,830.9075
AD233,655.40265
AD234,587.7622
AD235,270.4157
AD236,348.8436
AD237,538.95746
AD238,724.8408
AD239,838.63617
AD240,1531.0259
AD241,668.6525
AD242,100.34618
AD243,907.20276
AD244,646.14465
AD245,298.31537
AD246,603.08734
AD247,1368.7108
AD248,731.29224
AD249,270.35004
AD250,794.38763
AD251,638.59076
AD252,1341.9973
AD253,159.63094
AD254,84.093895
AD255,655.5898
AD256,151.17618
AD257,1683.8496
AD258,572.48566
AD259,234.52171
AD260,657.0863
AD261,146.93019
AD262,12.879929
AD263,683.8754
AD264,333.95126
AD265,762.6295
AD266,290.8695
AD267,139.57758
AD268,1069.6572
AD269,771.23706
AD270,1516.4817
AD271,228.30287
AD272,518.5468
AD273,94.3044
AD274,273.45645
AD275,868.47864
AD276,177.88744
AD277,41.33339
AD278,782.78455
AD279,283.0402
AD280,776.5659
AD281,434.25195
AD282,1330.281
AD283,154.20161
AD284,53.255405
AD285,274.18335
AD286,80.43588
AD287,556.5375
AD288,294.8008
AD289,87.94415
AD290,1735.0043
AD291,175.13525
AD292,772.3372
AD293,724.943
AD294,760.7555
AD295,256.0988
AD296,544.5195
AD297,31.804623
AD298,763.7383
AD299,858.9921
AD300,311.20633
AD301,167.92111
AD302,396.9679
AD303,466.3815
AD304,955.46515
AD305,617.413
AD306,409.38
AD307,218.71617
AD308,388.22787
AD309,199.9511
AD310,554.8918
AD311,737.3875
AD312,1779.6261
AD313,1343.9998
AD314,164.10558
AD315,743.20184
AD316,540.0743
AD317,1229.4868
AD318,506.79495
AD319,361.28815
AD320,494.1389
AD321,1229.0083
AD322,351.82068
AD323,39.71711
AD324,682.52997
AD325,1223.7122
AD326,466.64142
AD327,1276.6418
AD328,355.93317
AD329,1153.4176
AD330,824.0449
AD331,471.9899
AD332,453.43457
AD333,406.18002
AD334,372.20993
AD335,259.47595
AD336,69.01304
AD337,507.79916
AD338,249.64589
AD339,1132.4635
AD340,468.52347
AD341,432.9406
AD342,379.64133
AD343,96.23925
AD344,1339.8079
AD345,180.646
AD346,471.88373
AD347,972.8448
AD348,186.21635
AD349,884.76434
AD350,739.6278
AD351,620.17664
AD352,507.0608
AD353,383.00867
AD354,354.93713
AD355,1533.6466
AD356,447.61176
AD357,56.931984
AD358,526.6102
AD359,156.33641
AD360,782.91406
AD361,176.78804
AD362,193.55148
AD363,877.613
AD364,663.4426
AD365,228.62556
AD366,169.40784
AD367,266.14597
AD368,182.48378
AD369,397.6684
AD370,547.7374
AD371,36.76092
AD372,1391.8608
AD373,1440.8715
AD374,245.08578
AD375,787.3939
AD376,689.5857
AD377,1728.4857
AD378,273.3126
AD379,1238.9358
AD380,100.011536
AD381,245.10947
AD382,276.83963
AD383,207.72124
AD384,156.64468
AD385,188.71729
AD386,752.9725
AD387,294.50162
AD388,858.7234
AD389,731.16174
AD390,668.6588
AD391,709.8773
AD392,861.7081
AD393,1360.2609
AD394,131.83272
AD395,320.64136
AD396,189.81448
AD397,976.781
AD398,410.75317
AD399,1270.4937
AD400,203.74838
AD401,841.48486
AD402,238.84933
AD403,756.75867
AD404,1299.134
AD405,311.35782
AD406,287.46335
AD407,513.458
AD408,331.60995
AD409,35.523315
AD410,263.574
AD411,1002.77856
AD412,276.1647
AD413,77.43329
AD414,378.94647
AD415,645.10406
AD416,226.27055
AD417,519.52875
AD418,350.43857
AD419,494.23993
AD420,200.50288
AD421,646.6571
AD422,12.155796
AD423,903.21313
AD424,360.22516
AD425,590.13855
AD426,340.37265
AD427,346.5648
AD428,1166.1844
AD429,294.22928
AD430,276.68155
AD431,505.88892
AD432,347.08832
AD433,1414.4641
AD434,425.93677
AD435,610.73413
AD436,79.075066
AD437,236.4913
AD438,482.16714
AD439,74.885506
AD440,68.08819
AD441,448.48788
AD442,370.18652
AD443,464.6932
AD444,293.39267
AD445,952.0621
AD446,280.85855
AD447,1154.4944
AD448,181.61365
AD449,799.0652
AD450,917.82434
AD451,1136.0663
AD452,647.4707
AD453,389.0384
AD454,513.8176
AD455,707.0184
AD456,250.39009
AD457,198.42174
AD458,47.228184
AD459,197.27605
AD460,1606.5344
AD461,1371.163
AD462,560.7824
AD463,1529.0562
AD464,566.026
AD465,5.153626
AD466,1319.475
AD467,1121.4392
AD468,174.96992
AD469,346.97305
AD470,1448.1154
AD471,427.466
AD472,581.2227
AD473,218.02415
AD474,669.52826
AD475,943.70734
AD476,1669.7618
AD477,881.27893
AD478,183.7267
AD479,485.6738
AD480,225.50734
AD481,584.3425
AD482,301.60657
AD483,581.2025
AD484,1359.7421
AD485,1370.8583
AD486,87.10837
AD487,360.11203
AD488,609.7277
AD489,956.2022
AD490,843.49976
AD491,132.75511
AD492,83.288605
AD493,777.5584
AD494,566.8785
AD495,532.3979
AD496,1223.6323
AD497,632.78625
AD498,796.86707
AD499,664.74713
AD500,535.0112
AD501,427.27637
AD502,446.7737
AD503,566.03516
AD504,704.57117
AD505,365.38693
AD506,1185.547
AD507,170.77927
AD508,666.8712
AD509,696.6196
AD510,160.6508
AD511,126.8038
AD512,507.08197
AD513,322.74277
AD514,127.43811
AD515,152.57964
AD516,350.93018
AD517,314.1671
AD518,851.67834
AD519,1018.07043
AD520,770.3918
AD521,1794.0244
AD522,668.17554
AD523,293.7003
AD524,795.25916
AD525,187.53894
AD526,283.9444
AD527,300.11478
AD528,89.19035
AD529,166.50618
AD530,1298.6212
AD531,116.36602
AD532,178.4911
AD533,831.9951
AD534,727.3672
AD535,1220.1796
AD536,114.30807
AD537,152.76115
AD538,1093.7156
AD539,592.4689
AD540,139.48553
AD541,538.41327
AD542,630.65094
AD543,358.83804
AD544,177.22813
AD545,1543.2362
AD546,-26.738293
AD547,407.2975
AD548,290.54636
AD549,931.08105
AD550,327.82056
AD551,755.09235
AD552,344.954
AD553,114.65541
AD554,600.8755
AD555,370.1914
AD556,378.5556
AD557,395.69672
AD558,430.3743
AD559,1229.9536
AD560,281.78024
AD561,162.47403
AD562,1290.9025
AD563,332.99542
AD564,239.97308
AD565,413.96155
AD566,687.1211
AD567,1217.7434
AD568,504.42383
AD569,215.24136
AD570,897.2028
AD571,1088.1849
AD572,780.74023
AD573,648.8961
AD574,1079.8292
AD575,852.1304
AD576,-29.79429
AD577,491.24365
AD578,1216.1407
AD579,848.989
AD580,279.582
AD581,156.82483
AD582,179.35925
AD583,1511.4131
AD584,697.27075
AD585,135.14082
AD586,329.6199
AD587,705.1315
AD588,187.85112
AD589,261.49646
AD590,687.3553
AD591,701.92633
AD592,307.59415
AD593,867.5259
AD594,324.11218
AD595,920.03186
AD596,1031.4077
AD597,1657.5698
AD598,1281.017
AD599,412.58557
AD600,331.12155
AD601,217.29149
AD602,681.43085
AD603,263.25204
AD604,134.70195
AD605,649.55444
AD606,954.6065
AD607,160.82272
AD608,479.68716
AD609,674.34424
AD610,-9.648238
AD611,498.7045
AD612,877.2945
AD613,848.65356
AD614,650.0623
AD615,261.23218
AD616,551.6836
AD617,768.5489
AD618,98.681145
AD619,410.4017
AD620,836.0791
AD621,752.4881
AD622,73.30656
AD623,973.4848
AD624,947.6052
AD625,452.1212
AD626,410.02676
AD627,721.642
AD628,256.9592
AD629,634.37976
AD630,424.6531
AD631,497.23285
AD632,150.94618
AD633,168.07925
AD634,64.28818
AD635,177.58618
AD636,396.3681
AD637,190.99251
AD638,479.60727
AD639,474.5124
AD640,202.70609
AD641,688.8656
AD642,636.09045
AD643,583.7432
AD644,195.27667
AD645,739.0421
AD646,848.7971
AD647,186.29353
AD648,543.50116
AD649,284.2736
AD650,408.17532
AD651,1157.6234
AD652,629.65436
AD653,378.98315
AD654,550.0865
AD655,347.17554
AD656,722.4209
AD657,874.15265
AD658,245.68803
AD659,1371.3784
AD660,248.06429
AD661,1326.5874
AD662,276.95264
AD663,156.18806
AD664,337.93442
AD665,190.02007
AD666,412.833
AD667,198.38684
AD668,339.11014
AD669,313.55267
AD670,1461.9213
AD671,694.40247
AD672,624.08105
AD673,1015.22455
AD674,511.71378
AD675,274.456
AD676,1016.9768
AD677,448.34155
AD678,658.9571
AD679,78.219574
AD680,964.69836
AD681,1753.4082
AD682,641.3985
AD683,896.3069
AD684,360.80402
AD685,1648.5166
AD686,1271.4484
AD687,367.32724
AD688,1655.2349
AD689,405.96582
AD690,412.93863
AD691,1049.4315
AD692,383.65222
AD693,62.011227
AD694,43.872757
AD695,692.6646
AD696,858.1941
AD697,349.54504
AD698,683.10913
AD699,678.3983
AD700,169.27795
AD701,981.83386
AD702,998.8371
AD703,558.0671
AD704,386.8388
AD705,207.43484
AD706,187.29062
AD707,848.2452
AD708,674.7537
AD709,470.32285
AD710,114.155914
AD711,472.5412
AD712,479.97275
AD713,169.25842
AD714,-14.921242
AD715,243.1074
AD716,566.37726
AD717,205.85236
AD718,489.7576
AD719,1005.8066
AD720,88.57472
AD721,307.61673
AD722,767.4725
AD723,265.5918
AD724,564.7052
AD725,454.06256
AD726,535.8723
AD727,1340.2128
AD728,878.43506
AD729,819.1385
AD730,957.7412
AD731,417.62924
AD732,221.4805
AD733,564.72034
AD734,451.17413
AD735,346.3545
AD736,620.2734
AD737,1270.4812
AD738,377.21692
AD739,804.9824
AD740,486.90408
AD741,160.01611
AD742,891.5824
AD743,443.38135
AD744,1361.3015
AD745,90.708786
AD746,94.41489
AD747,1254.7004
AD748,909.3979
AD749,654.87836
AD750,380.5349
AD751,1135.5641
AD752,195.9754
AD753,51.624706
AD754,831.0791
AD755,407.09122
AD756,383.78687
AD757,851.18005
AD758,750.2252
AD759,711.9745
AD760,85.718445
AD761,1215.0553
AD762,705.2524
AD763,572.6908
AD764,195.68066
AD765,81.50046
AD766,413.90198
AD767,302.23755
AD768,172.06044
AD769,25.260027
AD770,214.48512
AD771,52.816868
AD772,259.4592
AD773,280.89172
AD774,461.12738
AD775,219.27643
AD776,919.36633
AD777,613.49414
AD778,628.2604
AD779,695.7075
AD780,792.5807
AD781,453.7437
AD782,531.7925
AD783,510.56433
AD784,526.3612
AD785,58.053864
AD786,352.24072
AD787,367.81683
AD788,298.60425
AD789,831.3761
AD790,219.56474
AD791,1023.24
AD792,1082.8
AD793,1726.4349
AD794,464.04993
AD795,1084.4625
AD796,725.9336
AD797,1264.696
AD798,186.38745
AD799,232.80557
AD800,1383.7869
AD801,1270.4268
AD802,312.9716
AD803,738.0137
AD804,184.24686
AD805,875.7316
AD806,152.14445
AD807,1057.5654
AD808,298.1354
AD809,405.52692
AD810,337.44498
AD811,202.12566
AD812,850.8643
AD813,490.70557
AD814,1237.4883
AD815,284.05435
AD816,1305.9259
AD817,54.16606
AD818,525.68066
AD819,17.264032
AD820,1055.9979
AD821,407.31317
AD822,895.1453
AD823,912.09064
AD824,1023.58453
AD825,296.64026
AD826,336.37146
AD827,613.6316
AD828,322.43042
AD829,546.05585
AD830,279.9643
AD831,62.86594
AD832,197.19492
AD833,349.78592
AD834,247.16553
AD835,708.46576
AD836,197.89616
AD837,686.73193
AD838,748.4706
AD839,1592.84
AD840,360.00714
AD841,431.3089
AD842,257.55377
AD843,690.55286
AD844,927.1337
AD845,586.36316
AD846,515.3846
AD847,479.61414
AD848,349.4743
AD849,1079.3677
AD850,180.10788
AD851,597.32446
AD852,187.83482
AD853,530.5536
AD854,1002.28204
AD855,223.78575
AD856,1231.2626
AD857,322.38892
AD858,236.87234
AD859,794.1632
AD860,1629.0659
AD861,377.19125
AD862,487.4158
AD863,1260.187
AD864,89.7443
AD865,635.6754
AD866,959.54407
AD867,179.4798
AD868,223.96703
AD869,829.6591
AD870,1338.6663
AD871,582.0388
AD872,460.5732
AD873,181.84894
